pt_col1,pt_col2
Libido disorder,Libido disorder
Ligament disorder,Ligament disorder
Ligament injury,Ligament injury
Limb discomfort,Limb discomfort
Limb injury,Limb injury
Limb operation,Limb operation
Lipid metabolism disorder,Lipid metabolism disorder
Lipomatosis,Lipomatosis
Lymphangiopathy,Lymphangiopathy
Lymphoproliferative disorder,Lymphoproliferative disorder
Lymphoproliferative disorder in remission,Lymphoproliferative disorder in remission
Male genital tract tuberculosis,Male genital tract tuberculosis
Male reproductive tract neoplasm,Male reproductive tract neoplasm
Malignant anorectal neoplasm,Malignant anorectal neoplasm
Malignant cranial nerve neoplasm,Malignant cranial nerve neoplasm
Malignant lymphoid neoplasm,Malignant lymphoid neoplasm
Malignant mediastinal neoplasm,Malignant mediastinal neoplasm
Internal injury,Internal injury
Intervertebral disc degeneration,Intervertebral disc degeneration
Intestinal ulcer perforation,Intestinal ulcer perforation
Intra-abdominal haemorrhage,Intra-abdominal haemorrhage
Intraocular melanoma,Intraocular melanoma
Investigation abnormal,Investigation abnormal
Iris disorder,Iris disorder
Ischaemia,Ischaemia
Ischaemic stroke,Ischaemic stroke
Jaw disorder,Jaw disorder
Joint lock,Joint lock
Klebsiella infection,Klebsiella infection
Lacrimal cyst,Lacrimal cyst
Lactation disorder,Lactation disorder
Large intestinal ulcer haemorrhage,Large intestinal ulcer haemorrhage
Laryngeal disorder,Laryngeal disorder
Learning disorder,Learning disorder
Legionella infection,Legionella infection
Malignant middle ear neoplasm,Malignant middle ear neoplasm
Malignant nervous system neoplasm,Malignant nervous system neoplasm
Malignant peritoneal neoplasm,Malignant peritoneal neoplasm
Malignant respiratory tract neoplasm,Malignant respiratory tract neoplasm
Malignant urinary tract neoplasm,Malignant urinary tract neoplasm
Malnutrition,Malnutrition
Malocclusion,Malocclusion
Mantle cell lymphoma,Mantle cell lymphoma
Mastoid abscess,Mastoid abscess
Mastoid disorder,Mastoid disorder
Mediastinal disorder,Mediastinal disorder
Meningeal disorder,Meningeal disorder
Meningeal neoplasm,Meningeal neoplasm
Nervous system neoplasm benign,Nervous system neoplasm benign
Mental disorder,Mental disorder
Mental disorder due to a general medical condition,Mental disorder due to a general medical condition
Metabolic function test abnormal,Metabolic function test abnormal
Metastases to nervous system,Metastases to nervous system
Metastases to reproductive organ,Metastases to reproductive organ
Metastatic neoplasm,Metastatic neoplasm
Middle ear disorder,Middle ear disorder
Mineral deficiency,Mineral deficiency
Mineral metabolism disorder,Mineral metabolism disorder
Monocyte count abnormal,Monocyte count abnormal
Monocyte morphology abnormal,Monocyte morphology abnormal
Monocytic leukaemia in remission,Monocytic leukaemia in remission
Motor dysfunction,Motor dysfunction
Mucosal erosion,Mucosal erosion
Mucosal haemorrhage,Mucosal haemorrhage
Mycoplasma infection,Mycoplasma infection
Myeloid leukaemia in remission,Myeloid leukaemia in remission
Myringitis,Myringitis
Nail bed infection,Nail bed infection
Nail infection,Nail infection
Nasal mucosal disorder,Nasal mucosal disorder
Nasopharyngeal cancer,Nasopharyngeal cancer
Neck deformity,Neck deformity
Neonatal infection,Neonatal infection
Neoplasm progression,Neoplasm progression
Nerve root injury,Nerve root injury
Nervous system neoplasm,Nervous system neoplasm
Neurological eyelid disorder,Neurological eyelid disorder
Neutrophil count abnormal,Neutrophil count abnormal
Neutrophil function disorder,Neutrophil function disorder
Obstetric procedure complication,Obstetric procedure complication
Occupational exposure to air contaminants,Occupational exposure to air contaminants
Oedema neonatal,Oedema neonatal
Oesophageal disorder,Oesophageal disorder
Oesophageal operation,Oesophageal operation
Oesophagitis bacterial,Oesophagitis bacterial
Optic disc disorder,Optic disc disorder
Optic nerve disorder,Optic nerve disorder
Optic neuropathy,Optic neuropathy
Oral fungal infection,Oral fungal infection
Oral neoplasm,Oral neoplasm
Ossicle disorder,Ossicle disorder
Ovarian epithelial cancer,Ovarian epithelial cancer
Papillary muscle disorder,Papillary muscle disorder
Papilloma viral infection,Papilloma viral infection
Paraganglion neoplasm,Paraganglion neoplasm
Paraproteinaemia,Paraproteinaemia
Partial seizures,Partial seizures
Pelvic deformity,Pelvic deformity
Pelvic neoplasm,Pelvic neoplasm
Pericardial disease,Pericardial disease
Perineal pain,Perineal pain
Peripheral embolism,Peripheral embolism
Peripheral nerve operation,Peripheral nerve operation
Peripheral neuroepithelioma of bone,Peripheral neuroepithelioma of bone
Peritoneal disorder,Peritoneal disorder
Peritoneal neoplasm,Peritoneal neoplasm
pH body fluid,pH body fluid
Phosphorus metabolism disorder,Phosphorus metabolism disorder
Pineal neoplasm,Pineal neoplasm
Placental neoplasm,Placental neoplasm
Plasma protein metabolism disorder,Plasma protein metabolism disorder
Pleural infection,Pleural infection
Pleural neoplasm,Pleural neoplasm
Pneumococcal infection,Pneumococcal infection
Pneumonia fungal,Pneumonia fungal
Poisoning,Poisoning
Porphyrin metabolism disorder,Porphyrin metabolism disorder
pH body fluid normal,pH body fluid normal
Iris vascular disorder,Iris vascular disorder
Scrotal haemorrhage,Scrotal haemorrhage
Skeletal injury,Skeletal injury
Skin injury,Skin injury
Skull fracture,Skull fracture
Soft tissue disorder,Soft tissue disorder
Spinal cord disorder,Spinal cord disorder
Spinal disorder,Spinal disorder
Spinal vascular disorder,Spinal vascular disorder
Spirochaetal infection,Spirochaetal infection
Spondylitis,Spondylitis
Streptococcal infection,Streptococcal infection
Sudden hearing loss,Sudden hearing loss
Synovial disorder,Synovial disorder
Temperature regulation disorder,Temperature regulation disorder
Tendon neoplasm,Tendon neoplasm
Testicular germ cell cancer,Testicular germ cell cancer
Testicular neoplasm,Testicular neoplasm
Therapeutic reaction time decreased,Therapeutic reaction time decreased
Thymus disorder,Thymus disorder
Toxicologic test abnormal,Toxicologic test abnormal
Toxicologic test normal,Toxicologic test normal
Toxicologic test,Toxicologic test
Traumatic amputation,Traumatic amputation
Chest injury,Chest injury
Traumatic intracranial haemorrhage,Traumatic intracranial haemorrhage
Tricuspid valve disease,Tricuspid valve disease
Tuberculosis gastrointestinal,Tuberculosis gastrointestinal
Tuberculosis of central nervous system,Tuberculosis of central nervous system
Tumour excision,Tumour excision
Typhus,Typhus
Upper limb fracture,Upper limb fracture
Ureter abscess,Ureter abscess
Urinary tract carcinoma in situ,Urinary tract carcinoma in situ
Urinary tract injury,Urinary tract injury
Urinary tract neoplasm,Urinary tract neoplasm
Urticaria thermal,Urticaria thermal
Uterine contractions abnormal,Uterine contractions abnormal
Uterine injury,Uterine injury
Vaginal disorder,Vaginal disorder
Vagus nerve disorder,Vagus nerve disorder
Limb traumatic amputation,Limb traumatic amputation
Pelvic organ injury,Pelvic organ injury
Cardiac valve disease,Cardiac valve disease
Venous thrombosis limb,Venous thrombosis limb
Victim of crime,Victim of crime
Visual pathway disorder,Visual pathway disorder
Vitamin A deficiency eye disorder,Vitamin A deficiency eye disorder
Vitamin C abnormal,Vitamin C abnormal
White blood cell disorder,White blood cell disorder
Wrist deformity,Wrist deformity
Yersinia infection,Yersinia infection
Zoonotic bacterial infection,Zoonotic bacterial infection
Crystal arthropathy,Crystal arthropathy
Cyst aspiration abnormal,Cyst aspiration abnormal
Cyst aspiration normal,Cyst aspiration normal
Abnormal behaviour,Abnormal behaviour
Amnestic disorder,Amnestic disorder
Anal cancer,Anal cancer
Antibody test abnormal,Antibody test abnormal
Antibody test negative,Antibody test negative
Antibody test positive,Antibody test positive
Decreased appetite,Decreased appetite
Antibody test normal,Antibody test normal
Arthritis allergic,Arthritis allergic
Glial scar,Glial scar
Urine retinol binding protein increased,Urine retinol binding protein increased
Retinol binding protein increased,Retinol binding protein increased
Antasthmatic drug level above therapeutic,Antasthmatic drug level above therapeutic
Antasthmatic drug level below therapeutic,Antasthmatic drug level below therapeutic
Urine retinol binding protein,Urine retinol binding protein
Urine retinol binding protein decreased,Urine retinol binding protein decreased
Antasthmatic drug level therapeutic,Antasthmatic drug level therapeutic
Antasthmatic drug level,Antasthmatic drug level
Central nervous system stimulation,Central nervous system stimulation
Cerebral cyst,Cerebral cyst
Conjunctival disorder,Conjunctival disorder
Culture,Culture
Culture negative,Culture negative
Culture positive,Culture positive
Carcinoma in situ,Carcinoma in situ
Colorectal cancer,Colorectal cancer
Complication of pregnancy,Complication of pregnancy
Corneal disorder,Corneal disorder
Dentofacial functional disorder,Dentofacial functional disorder
Dermatoglyphic anomaly,Dermatoglyphic anomaly
External ear disorder,External ear disorder
Facial nerve disorder,Facial nerve disorder
Feeling of body temperature change,Feeling of body temperature change
Gastrointestinal ulcer,Gastrointestinal ulcer
Glucocorticoids abnormal,Glucocorticoids abnormal
Erectile dysfunction,Erectile dysfunction
Eustachian tube disorder,Eustachian tube disorder
Retinal function test normal,Retinal function test normal
Central nervous system function test normal,Central nervous system function test normal
Peripheral nervous system function test normal,Peripheral nervous system function test normal
Glucocorticoids decreased,Glucocorticoids decreased
Post abortion infection,Post abortion infection
Postoperative wound complication,Postoperative wound complication
Postpartum disorder,Postpartum disorder
Proteus infection,Proteus infection
Pseudomonas infection,Pseudomonas infection
Psychiatric symptom,Psychiatric symptom
Pulmonary radiation injury,Pulmonary radiation injury
Pulmonary vascular disorder,Pulmonary vascular disorder
Pulse waveform abnormal,Pulse waveform abnormal
Purine metabolism disorder,Purine metabolism disorder
Radioisotope scan,Radioisotope scan
Renal function test abnormal,Renal function test abnormal
Renal injury,Renal injury
Renal neoplasm,Renal neoplasm
Reproductive tract disorder,Reproductive tract disorder
Respiratory disorder neonatal,Respiratory disorder neonatal
Respiratory fume inhalation disorder,Respiratory fume inhalation disorder
Respiratory tract neoplasm,Respiratory tract neoplasm
Pulse waveform normal,Pulse waveform normal
Pulse waveform,Pulse waveform
Post procedural fistula,Post procedural fistula
Renal function test,Renal function test
Renal function test normal,Renal function test normal
Retinoschisis,Retinoschisis
Retroviral infection,Retroviral infection
Rhinovirus infection,Rhinovirus infection
Rickettsiosis,Rickettsiosis
Rubella infection neurological,Rubella infection neurological
Salivary gland neoplasm,Salivary gland neoplasm
Scan,Scan
Scan abnormal,Scan abnormal
Scan brain,Scan brain
Scan myocardial perfusion abnormal,Scan myocardial perfusion abnormal
Scan abdomen abnormal,Scan abdomen abnormal
Scan adrenal gland,Scan adrenal gland
Scan lymph nodes,Scan lymph nodes
Scan normal,Scan normal
Scan spleen,Scan spleen
Scan parathyroid,Scan parathyroid
Scan thyroid gland,Scan thyroid gland
Scleral degeneration,Scleral degeneration
Scleral disorder,Scleral disorder
Sebaceous gland disorder,Sebaceous gland disorder
Serratia infection,Serratia infection
Sex chromosome abnormality,Sex chromosome abnormality
Scan myocardial perfusion normal,Scan myocardial perfusion normal
Scrotal haematocoele,Scrotal haematocoele
HIV infection CDC group IV,HIV infection CDC group IV
Ill-defined disorder,Ill-defined disorder
Intervertebral disc disorder,Intervertebral disc disorder
Karyotype analysis abnormal,Karyotype analysis abnormal
Lip and/or oral cavity cancer,Lip and/or oral cavity cancer
Inner ear disorder,Inner ear disorder
Lacrimal disorder,Lacrimal disorder
Malignant mesenchymoma,Malignant mesenchymoma
Neurofibrosarcoma,Neurofibrosarcoma
Congenital optic nerve anomaly,Congenital optic nerve anomaly
Polyp,Polyp
Congenital scleral disorder,Congenital scleral disorder
Skin degenerative disorder,Skin degenerative disorder
Mitral valve disease,Mitral valve disease
Myotonia,Myotonia
Oesophageal squamous cell carcinoma,Oesophageal squamous cell carcinoma
Ovarian neoplasm,Ovarian neoplasm
Parkinson's disease,Parkinson's disease
Pineal parenchymal neoplasm malignant,Pineal parenchymal neoplasm malignant
Pituitary tumour benign,Pituitary tumour benign
Platelet function test abnormal,Platelet function test abnormal
Platelet function test normal,Platelet function test normal
Pulmonary valve disease,Pulmonary valve disease
Radiotherapy to brain,Radiotherapy to brain
Radiotherapy to lung,Radiotherapy to lung
Radiotherapy to prostate,Radiotherapy to prostate
Radiotherapy to skin,Radiotherapy to skin
Radiotherapy to urinary bladder,Radiotherapy to urinary bladder
Radiotherapy to uterus,Radiotherapy to uterus
Red blood cell abnormality,Red blood cell abnormality
